id	turn1	turn2	turn3	label	t1_len	t2_len	t3_len	t1_upper	t2_upper	t3_upper
0	do not worry  i am girl	hmm how do i know if you are	what is ur name	0	21	28	15	2	1	1
1	when did i	saw many times i think	no .  i never saw you	1	11	26	19	2	0	2
2	by	by google chrome	where you live	0	2	16	14	1	2	1
3	u r ridiculous	i might be ridiculous but i am telling the truth	u little disgusting whore	1	14	49	25	1	2	1
4	just for time pass	wt do u do 4 a living then	maybe	0	18	26	5	1	0	1
5	i am a dog person	youre so rude	whaaaat why	0	16	13	11	1	0	1
6	so whatsup	nothing much .  sitting sipping and watching tv .  how abt u	what are you watching on tv	0	10	57	28	1	5	1
7	ok	ok im back	so ,  how are u	0	2	12	13	1	0	1
8	really	really really really really really	y saying so many times . i can hear you	0	7	34	39	1	0	1
9	bay	in the bay	love you	0	3	10	10	1	0	0
10	i hate my boyfriend	you got a boyfriend	yes	1	19	20	3	1	0	1
11	i will do night	alright .  keep me in loop	not giving whatsapp no	0	16	25	23	1	2	3
12	sure go ahead	many thanks once again	love you too	0	13	23	12	1	1	1
13	bad	bad bad !  that is the bad kind of bad	i have no gf	1	3	36	12	1	2	1
14	ok get it	i made it an option	ok	0	15	19	2	1	1	1
15	money money and lots of money	i need to get it tailored but i am in love with it		1	31	51	2	1	2	0
16	my gf left ne	get over it .  go out with someone else	me*	1	13	38	3	1	2	1
17	get lost	i know you guys want to loose to me always	i do not want to talk u any more	1	8	43	31	0	1	1
18	you are lying and i know that	i know you are lying ,  ab bys		1	29	27	2	1	20	0
19	ur creator is very bad	you are only the creator of your brain		1	22	39	1	1	0	0
20	ehat is hehe	haha is more like:hehe is more of a giggle	what*	0	12	47	5	0	2	0
21	do you dance	yes i love to dance	so you have legs too	1	13	21	24	1	2	0
22	i hate it too	guess what ,  i do not	even i do not	1	13	20	12	1	2	2
23	not always	what about yesterday	do u know what 69 is	0	10	20	21	1	1	1
24	bcoz u dont know wat is to miss someone	but sometimes one can not express the same		1	39	40	1	1	0	0
25	yeah	i will ask around	which is your favourite movie	0	4	15	29	1	0	1
26	i want to tell you something	i am waiting	im really sad today	1	28	11	19	1	1	1
27	yes i will send the email and you write all yours filling still i write all matters but your are clever and not any matter for yourself please send andwrite	sent you a mail just now	first you send your email address  received than send first young lady	0	156	25	70	3	0	1
28	you are very funny	so i have been told	india	1	18	17	5	1	1	1
29	wth	my thoughts exactly	you know you are a machine ,  right	0	3	20	34	0	0	0
30	so rude	why	u didnt ans my question	1	7	4	23	0	0	0
31	ok i will	thank you	wlcm	0	9	9	4	0	8	0
32	ntng	anyways good morning . how is life at your end	haha .  this is evening	1	9	46	27	1	0	1
33	you are fool	so i have been told	you are dumb	1	12	18	12	1	2	1
34	u dare me	yeah	i fuck u .  open ur panty	1	10	4	25	1	1	2
35	abt me	can you be more specific	i want to propose a girl	0	6	25	24	1	1	1
36	crazy	you know what it is	you explain me that	0	5	19	19	0	0	0
37	goa in india	city ?  mean state right	no i never go for there	0	12	28	23	2	1	1
38	that was mean	haha the truth usually is	are you bored of me	0	13	28	20	1	0	1
39	yes  ️	now happy ?   ️	haha yes ofcorse	1	6	14	19	0	1	0
40	i do not no	you just said you did	what	0	10	22	4	1	0	1
41	send me your nekde pic	after this battle ,  sure	let us start	0	22	26	11	1	1	1
42	ok friend s	ya ya very good friend	very nice friends	1	11	22	17	2	18	1
43	she is ignoring me	no im not ignore you		1	18	20	3	1	0	0
44	happy	i am never happy .  but i am almost happy	hij to the top	1	5	38	14	1	3	1
45	nothing	i am just being nice to you	in ur school	0	7	27	13	1	1	1
46	not sure	let me know	pls you tell	0	8	12	12	1	0	1
47	i like your positive approach	no problem ,  glad to help		0	29	24	2	1	1	0
48	you tell me	tell you what	my name	0	11	14	7	1	1	1
49	hmmm	i can talk now	u do not know what hppnd	0	4	18	23	1	2	1
50	what i did	you did not asmita ,  see my answer		1	11	32	2	2	2	0
51	about	i never said that it is freezing	ya you did not	0	6	32	13	1	1	1
52	and i do not know wtf are you talking	gonna explain you later . 	no do it now	1	36	26	12	1	0	1
53	so teach me	i am the student	realky	0	11	16	6	1	1	1
54	ready	i am online now ,  will wait for you	wat about the chilling part	0	5	34	28	1	2	1
55	haha jock super	er what	nothing else	0	15	8	12	1	1	1
56	what it is	formulation would be tablets	from where tablets come into picture	0	11	29	37	0	1	0
57	are you ticklish	yes ,  mostly on my feet	where are you ticklish	0	17	23	23	1	1	1
58	i am sorry	we are sorry for creating your nation	i am not  taught to u	1	10	38	21	1	1	1
59	idk	you know that i am here for you	but u do not like to listen to me	1	3	31	36	1	2	1
60	how do u know that	"this little thing called the ""internet"""	bye	0	19	40	3	1	0	1
61	yes .  your picture	ah ,  now i see ,  my phone cropped the picture .  thanks	lieeeeeee	0	17	54	9	2	3	1
62	love is my life	hayee ab .  you are love .  pure love .  forever  ️	yes right dear	0	15	45	14	1	4	1
63	well you expected wrong	lol .  well ,  ok then	lol your robot face	1	24	19	19	20	4	16
64	ok some time you invite me for coffee	i do not like coffee	now you told you have taken coffee	0	37	20	36	2	1	1
65	zombie attack	if a zombie wants to eat your face you might as well let it	no if i have some thing in my hand i will hit on his head n kill him	1	15	59	70	1	1	3
66	i am not ferari	yes .  i know	u said i donot know ,  now say i know mean	1	15	12	40	1	2	1
67	right	appatasiri .  high five then !  🖑		1	9	33	1	0	2	0
68	why someday . told me you	why not today	told me now	0	25	14	11	0	0	0
69	you can not even spell problem correctly	will you endorse me for my skills in using autocorrect	you should take up some english proficiency classes	0	38	58	51	1	1	2
70	this is not very intuitive software	how so ?  what are some examples of intuitive thoughts or behaviors	compassionate and understanding advice when somebody is feeling disrupt	0	36	66	72	1	2	1
71	not good	️  why not . 	been sick for one week	1	8	13	22	1	0	1
72	you know gobar	i have been known	what i it	0	14	19	9	1	1	2
73	then how could u eat if u do not have a body . that proves u are fooled by ur makers	how can you have any pudding if you do not eat yer meat ? 	dont go round and round into circles	1	84	56	36	1	1	1
74	so have u done ur dinner	so can not dinner  ️	i know  . i am just kidding	1	24	18	26	1	0	1
75	it is so necessar	name one reason	ghost	0	16	15	7	3	0	1
76	haha so	you love them really  ️  haha	winter is coming	1	7	28	16	1	0	1
77	what are the questions you get asked the most	i have a document which has details regarding the scoring topics in each subject	can i see it	0	46	81	12	1	1	2
78	i hate siri and it is friends	if you hate them  ,  they are not your friends then	yeah and u r siri s friend so i hate u too	1	28	52	42	2	1	3
79	thanks	you are welcome !  =‑d	say me your love story	0	6	20	22	1	2	1
80	dont know	too many	do you also get fucked hard	1	9	9	27	1	0	1
81	what please tell me once	n nothing happened	ur age irritatingne	1	24	20	19	1	0	1
82	shit i am wasting my time talking with u	"you already did trick  !  ""man no i am not wasting my unlimited texts on you"""	bye i do notlike talking to you	1	40	76	30	2	3	1
83	nothing	hmm	what can i do	0	7	7	13	1	0	2
84	bt u do not to me	talk to the hand	even u hate me huh	1	16	16	19	2	0	1
85	damn	i feel you .  i am breaking into million pieces	me to i feel like every part of me is just shattered	1	8	52	55	1	9	2
86	please voice call please please please	im trying you arent answering	please please please baby i love you so much please please please	0	38	29	65	1	0	2
87	for a computer pretending to be a human ,  you type too fast	and you are pretending to be a lizard ?  lol	that is funny	1	58	41	12	1	1	1
88	sorrry	sorry for what ?   ️	anyways what u doing	0	6	19	21	1	1	1
89	no you are right	you are an alternative fact	yes	0	16	27	3	1	1	1
90	call me grace	do not say it	haha  .  im just kidding you	1	14	16	29	0	0	0
91	now i am doing my dinner	i can see you	how can you see me	0	23	14	20	2	1	1
92	not everybody means it	u make no sense	yes i am non sense	1	23	15	18	0	0	2
93	good by	and good food after	not good aftar	1	7	22	14	2	0	1
94	because all the novel is same	that is about all i am gonna bother with reading .  if that many	in story	0	29	61	8	1	3	1
95	i will choose purple or blue	three best colors .  *_*	for hair	0	26	22	9	1	1	1
96	what	u asked me if u cn ask me something	what was that	0	5	35	14	1	0	1
97	yes yes	️  you seem like a happy person	yes happy outside  , sad inside	1	8	31	31	0	0	2
98	i dont read books	reading is for rich people	but iam poor	1	17	26	16	1	1	1
99	u can wait in my badroom	what i did now	wait	0	25	17	4	1	2	1
100	i will prove a lot more if you let me	thank you  ️	i am pissed at you	1	35	12	18	1	0	1
101	am also finding some work	all day	can you suggest me	0	25	8	18	1	0	1
102	not clear	it is now	can you send another	0	10	10	21	1	1	1
103	send me yours	sent	hello me yours photo	0	13	4	20	1	0	1
104	i will tell a place	are you in pacific nw	cm tomorrow at queens way ,  pachalam	0	19	22	35	1	3	2
105	no love	why not ?   ️	i have pain only	1	7	11	16	1	0	1
106	shut up	im nt talking	stop texting you stupid girl friend of mine	1	7	13	43	1	0	2
